rat_uniprot_id,rat_entrez_id,rat_sym,mouse_entrez_id,mouse_sym,Name,fold_change,GeneSymbol
P30919,290923,Aga,11593,Aga,N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase precursor,Tg only,Aga
Q9R1E9,64032,Ccn2,14219,Ccn2,Connective tissue growth factor,Tg only,Ctgf
P06866,24464,Hp,15439,Hp,Haptoglobin,Tg only,Hp
Q794E4,64200,Hnrnpf,98758,Hnrnpf,Heterogeneous nuclear ribonucleoprotein F,Tg only,Hnrnpf
P47819,24387,Gfap,14580,Gfap,Glial fibrillary acidic protein,Tg only,Gfap
P61980,117282,Hnrnpk,15387,Hnrnpk,Heterogeneous nuclear ribonucleoprotein K,Tg only,Hnrnpk
P11598,29468,Pdia3,14827,Pdia3,Protein disulfide-isomerase A3,Tg only,Pdia3
Q66H80,300674,Arcn1,213827,Arcn1,Coatomer subunit delta,Tg only,Arcn1
P08592,54226,App,11820,App,Amyloid beta A4 protein,Tg only,App
Q6P7A9,367562,Gaa,14387,Gaa,Lysosomal alpha-glucosidase,Tg only,Gaa
O35806,59106,Ltbp2,16997,Ltbp2,Latent-transforming growth factor beta-binding protein 2,Tg only,Ltbp2
Q00918,59107,Ltbp1,268977,Ltbp1,Latent-transforming growth factor beta-binding protein 1,Tg only,Ltbp1
P55051,80841,Fabp7,12140,Fabp7,"Fatty acid-binding protein, brain",Tg only,Fabp7
